"","date","dow","holiday","temp","rh","co","fsp","no2","o3h8max","copd"
"1",2005-01-01,6,1,9.4,43,749.789143641118,30.4317818831718,50.9018480503554,58.845315473397,61
"2",2005-01-02,7,0,12.1,53,1012.69977166044,45.3186866450766,74.7637643144456,38.9786488067303,89
"3",2005-01-03,1,0,15.3,65,1476.6973562015,80.2413919590862,115.060865763721,22.820315473397,91
"4",2005-01-04,2,0,16.7,62,2219.61402286817,110.040908867299,118.924118805365,11.720315473397,77
"5",2005-01-05,3,0,16.9,77,1367.27816428231,70.3287876551776,77.314003522098,47.2536488067304,78
"6",2005-01-06,4,0,17.5,69,1909.49324992131,134.263131089521,124.083684022757,54.2619821400637,78
"7",2005-01-07,5,0,17.4,80,1135.86402286817,70.3349909929027,85.6347709792785,61.6786488067304,62
"8",2005-01-08,6,0,17.7,77,1299.33624509039,80.3464644228544,85.5474521386988,58.0842043622859,64
"9",2005-01-09,7,0,16.2,70,1399.1973562015,90.8742422006321,64.6641188053655,54.595315473397,69
"10",2005-01-10,1,0,15.2,73,1443.64180064595,106.286901401335,70.1444759482226,39.2536488067304,78
"11",2005-01-11,2,0,16.6,76,1407.66957842373,96.5686866450766,93.8461840227568,61.470315473397,71
"12",2005-01-12,3,0,16,74,1450.58624509039,86.9893215657115,69.4328688053655,22.045315473397,52
"13",2005-01-13,4,0,12,82,1209.94230569645,46.2104330565598,61.1869942994366,13.3175376956192,63
"14",2005-01-14,5,0,11.3,56,922.871598625747,60.84163350498,66.4769646551678,38.3036488067304,75
"15",2005-01-15,6,0,12.5,52,1079.79518228846,80.638131089521,88.1114014140611,53.9147599178415,75
"16",2005-01-16,7,0,13.5,56,1260.76740451068,105.735353311743,97.3470898198582,69.845315473397,70
"17",2005-01-17,1,0,14.4,72,941.975133979283,66.2366159380059,81.466770320517,69.5536488067304,77
"18",2005-01-18,2,0,15.8,78,777.114022868171,54.8126479977336,76.902964561059,61.0536488067304,77
"19",2005-01-19,3,0,16.8,81,922.669578423727,66.3742422006321,85.4565618695477,34.3869821400637,73
"20",2005-01-20,4,0,15.8,82,1138.75049629812,86.1399426837239,67.6954593850756,43.2119821400637,55
"21",2005-01-21,5,0,15.9,79,847.530689534838,56.013131089521,59.6335632498099,70.195315473397,66
"22",2005-01-22,6,0,17.3,84,972.114022868172,52.3742422006321,84.7349521386988,48.170315473397,81
"23",2005-01-23,7,0,18.2,84,1274.89180064595,70.1242422006321,89.9807854720321,68.0536488067304,71
"24",2005-01-24,1,0,17.8,82,972.25291175706,33.513131089521,76.6766188053655,52.1766646797462,66
"25",2005-01-25,2,0,19.8,88,892.153705407854,33.7723903487803,83.1182478285162,43.0258710289526,91
"26",2005-01-26,3,0,18.5,91,927.307259583147,30.0270199784099,66.4764635258624,25.5119821400637,70
"27",2005-01-27,4,0,18.2,87,780.669578423727,30.9906563420463,58.5249356696606,34.9869821400637,82
"28",2005-01-28,5,0,18.9,93,2132.63938518701,84.388131089521,73.0439442335605,11.345315473397,55
"29",2005-01-29,6,0,18.3,93,1673.71426441407,64.4992422006321,59.5358579358002,12.6786488067304,54
"30",2005-01-30,7,0,17.3,94,1950.68890209522,59.7770199784099,47.9121260517423,7.84531547339702,67
"31",2005-01-31,1,0,13.8,85,1516.00291175706,34.5383836147735,46.9155076942544,9.13698214006369,65
"32",2005-02-01,2,0,13,75,1327.25291175706,62.0661613925513,58.265275105206,18.4306329337145,67
"33",2005-02-02,3,0,13.1,82,1160.6973562015,57.4853533117432,57.0340253652434,22.6230932511748,61
"34",2005-02-03,4,0,13.6,91,1004.29238544127,38.8247252924196,47.9023129319864,23.720315473397,74
"35",2005-02-04,5,0,16.6,93,1301.89472462256,58.3694112827577,65.9220135422076,12.6508710289526,63
"36",2005-02-05,6,0,18.5,94,906.00291175706,29.5270199784099,60.1457854720321,30.8869821400637,61
"37",2005-02-06,7,0,18.5,93,802.391800645949,24.5547977561877,54.9282854720321,29.5536488067304,69
"38",2005-02-07,1,0,20.7,87,823.919578423727,23.721550689245,68.402376381123,32.095315473397,71
"39",2005-02-08,2,0,19.3,94,864.27672128087,22.7551945815845,52.5246354626212,31.820315473397,47
"40",2005-02-09,3,1,19.3,85,704.976341708751,19.3325755339655,42.1617637329017,50.220315473397,60
"41",2005-02-10,4,1,19.2,85,1093.64180064595,36.4714644228544,49.9534303995684,37.720315473397,76
"42",2005-02-11,5,1,16.1,77,1150.50170402759,25.2075755339655,35.1923796749307,44.4286488067304,81
"43",2005-02-12,6,0,17.4,80,868.738419003437,26.2492422006321,51.4017176195947,57.7286488067303,63
"44",2005-02-13,7,0,16.6,82,706.008950404403,18.6659088672988,37.8307854720321,57.8036488067304,102
"45",2005-02-14,1,0,17,85,666.926824800539,18.0042927056826,40.9995408002504,61.170315473397,97
"46",2005-02-15,2,0,19.1,94,798.225133979283,27.2075755339655,56.9129824417291,37.6369821400637,75
"47",2005-02-16,3,0,22.8,89,787.120061515514,19.3742422006321,43.1707624153786,25.845315473397,75
"48",2005-02-17,4,0,22.6,90,1661.32899871358,61.46663350498,51.6469086604379,20.3036488067304,82
"49",2005-02-18,5,0,15.2,85,1752.53068953484,19.8325755339655,41.210547376794,6.47031547339702,73
"50",2005-02-19,6,0,12.6,61,1326.41957842373,32.2492422006321,46.9766188053655,31.220315473397,58
"51",2005-02-20,7,0,9.9,70,1295.30846731262,57.2492422006321,44.2432854720321,48.8893630924446,76
"52",2005-02-21,1,0,10.3,79,1480.4473562015,71.4310603824503,50.7766188053655,32.470315473397,84
"53",2005-02-22,2,0,12.3,87,1755.03068953484,64.7601117658495,60.5195535879742,9.78975991784146,95
"54",2005-02-23,3,0,16,91,1887.6091919503,64.1520199784099,73.093828950293,19.595315473397,92
"55",2005-02-24,4,0,20,93,2162.11402286817,80.7788315726128,92.2671985155104,9.22031547339702,79
"56",2005-02-25,5,0,18.2,95,1544.20998246413,38.4335856349756,66.4222895819573,37.720315473397,90
"57",2005-02-26,6,0,15.3,88,1119.5475977474,17.9853533117432,46.221365182177,60.2980932511748,78
"58",2005-02-27,7,0,14.1,89,1153.99808083919,18.6520199784099,42.7825194264835,54.7814265845081,62
"59",2005-02-28,1,0,13.8,86,1427.39180064595,15.3412309284904,47.4099521386988,13.5119821400637,96
"60",2005-03-01,2,0,13.7,85,1164.39576889992,27.8464644228544,49.3999897326838,22.720315473397,78
